task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ff/010c38	3caf980b-9212-4ea4-9fe7-e435b7838fe5	trimReads (2)	CACHED	0	2020-09-21 16:33:11.837	7m 38s	4m 20s	341.0%	596.2 MB	5.1 GB	1006.4 MB	822.3 MB
1	ee/9178ff	6a0ae68f-0203-4e63-9175-a405565b0458	trimReads (1)	CACHED	0	2020-09-21 16:33:11.831	4m 18s	1m	362.9%	600.1 MB	5.1 GB	230.3 MB	188.3 MB
5	85/fa46fa	2cbd048e-1a0c-4d31-8ef3-659b32ab9c4d	trimReads (4)	CACHED	0	2020-09-21 16:33:11.830	7m 8s	3m 49s	351.3%	599.7 MB	5.1 GB	854.4 MB	719.4 MB
6	be/3a5f25	3d29198e-2e89-48f3-b389-c83701f27cad	trimReads (6)	CACHED	0	2020-09-21 16:33:11.828	10m 28s	7m 10s	325.1%	600.7 MB	5.1 GB	1.6 GB	1.3 GB
2	d5/835c08	047625e1-187d-4d1e-b379-99efa26be17b	trimReads (5)	CACHED	0	2020-09-21 16:33:11.833	9m 8s	5m 51s	333.2%	618.8 MB	5.1 GB	1.3 GB	1.1 GB
7	ae/b0e41d	acc714a1-725b-4b92-a7ba-97f112e99770	trimReads (7)	CACHED	0	2020-09-21 16:33:11.838	5m 8s	1m 32s	271.2%	595 MB	5.1 GB	271.1 MB	224.6 MB
8	6f/4faac8	600aaffc-014b-4270-8c5f-64500fded68e	trimReads (8)	CACHED	0	2020-09-21 16:33:11.819	4m 8s	56s	359.2%	578.7 MB	5.1 GB	215.6 MB	174.8 MB
4	c3/a6563d	ac54c90d-559a-4807-8bba-4fbe56f80f0c	trimReads (3)	CACHED	0	2020-09-21 16:33:11.790	9m 18s	5m 51s	324.2%	600.1 MB	5.1 GB	1.2 GB	1 GB
22	36/261c92	166b85b5-358c-431a-ae1e-74b017ff1959	trimReads (14)	CACHED	0	2020-09-21 16:33:11.955	8m 48s	5m 7s	326.1%	594.8 MB	5.1 GB	1.1 GB	918.3 MB
21	5e/b12e54	6bcf5cde-b9ee-46e2-ba43-19df21e1345c	trimReads (13)	CACHED	-	2020-09-21 16:33:11.937	-	-	-	-	-	-	-
20	48/900e90	5af1eff5-bd02-4554-a36e-462dd62d3fa3	trimReads (12)	CACHED	0	2020-09-21 16:33:11.901	12m 18s	8m 39s	316.6%	608 MB	5.1 GB	1.8 GB	1.5 GB
19	05/d393ae	12aed680-7f23-4c68-9c42-5ddb2ef3ae37	trimReads (11)	CACHED	0	2020-09-21 16:33:11.919	12m 58s	9m 9s	327.2%	595.5 MB	5.1 GB	1.9 GB	1.6 GB
23	6b/df191b	e5b9b5be-35c6-4359-8903-0fc98ceb698d	trimReads (15)	CACHED	0	2020-09-21 16:33:11.925	8m 8s	4m 25s	326.2%	601.8 MB	5.1 GB	926.6 MB	778.2 MB
18	a6/56247a	971eb1e2-82d1-41d5-86bf-2ed661987515	trimReads (10)	CACHED	0	2020-09-21 16:33:11.969	5m 8s	1m 23s	268.6%	596.2 MB	5.1 GB	240.1 MB	198.7 MB
17	8f/4a2c92	ee9c71ac-37a8-471d-8291-681973464c98	trimReads (9)	CACHED	0	2020-09-21 16:33:11.953	4m 58s	1m 17s	265.8%	598 MB	5.1 GB	218.6 MB	179.7 MB
16	73/ceaacb	a20c7ce3-84a2-4314-9a7b-da7a5d280f0b	filterTp (11)	CACHED	0	2020-09-21 16:42:30.607	5m 40s	14s	1898.9%	7.6 GB	59.9 GB	5.5 GB	5.5 GB
